time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,validity
3312447,,,,,,,,0.515625,5.92578125,2.8984375,-1.6875,-0.6875,1.505859375,-2.69140625,3.37109375,-1.0,1.0
3312448,,,,,,,,1.953125,4.734375,2.62890625,-0.630859375,-0.62109375,1.80078125,-1.6171875,1.4921875,-1.19140625,1.0
3312449,,,,,,,,2.21484375,2.671875,2.58984375,-0.048828125,-0.494140625,1.935546875,-1.46484375,-0.5,-1.23046875,1.0
3312450,36.01301016666666,129.31896166666667,32.60384346950836,67.70368779672721,2.6,248.0,,2.19921875,-0.4140625,2.4609375,0.291015625,-0.357421875,1.826171875,-1.54296875,-3.5625,-1.34375,1.0
3312451,,,,,,,,3.07421875,-0.23828125,2.66796875,0.259765625,-0.2109375,1.103515625,-0.73828125,-3.37109375,-1.11328125,1.0
3312452,,,,,,,,3.43359375,0.19140625,2.95703125,0.125,-0.2265625,0.716796875,-0.39453125,-2.9453125,-0.80859375,1.0
3312453,,,,,,,,4.01953125,1.74609375,3.83984375,-0.2890625,-0.27734375,-0.130859375,0.18359375,-1.41796875,0.07421875,1.0
3312454,,,,,,,,4.203125,3.65234375,4.53515625,-0.642578125,-0.298828125,-0.92578125,0.375,0.45703125,0.7578125,1.0
3312455,,,,,,,,3.83203125,5.921875,4.97265625,-0.83203125,-0.294921875,-1.71484375,0.06640625,2.64453125,1.18359375,1.0
3312456,,,,,,,,3.54296875,6.4921875,5.05859375,-0.876953125,-0.29296875,-1.84765625,-0.19921875,3.1796875,1.26171875,1.0
3312457,,,,,,,,2.78125,7.59375,5.43359375,-0.990234375,-0.2734375,-1.998046875,-0.890625,4.2109375,1.60546875,1.0
3312458,,,,,,,,2.17578125,7.57421875,5.94921875,-1.046875,-0.240234375,-1.896484375,-1.42578125,4.1328125,2.10546875,1.0
3312459,,,,,,,,1.68359375,6.875,6.76953125,-1.048828125,-0.23046875,-1.748046875,-1.88671875,3.40625,2.91015625,1.0
3312460,36.01300983333333,129.3189585,32.318372166142225,67.66670032825078,2.7,253.0,,1.16015625,4.80859375,8.09375,0.291015625,-0.357421875,1.826171875,-1.54296875,-3.5625,-1.34375,1.0
3312461,,,,,,,,1.0546875,2.2734375,8.078125,-0.662109375,-0.2421875,-0.51171875,-2.421875,-1.265625,4.17578125,1.0
3312462,,,,,,,,2.28125,-5.953125,6.67578125,-0.5390625,-0.27734375,0.205078125,-1.1953125,-9.50390625,2.75390625,1.0
3312463,,,,,,,,2.73046875,-15.6015625,6.90625,-0.666015625,-0.505859375,0.99609375,-0.77734375,-19.1171875,2.984375,1.0
3312464,,,,,,,,4.47265625,-37.59765625,7.60546875,-0.771484375,-0.6640625,1.392578125,0.91015625,-41.0625,3.67578125,1.0
3312465,,,,,,,,16.71484375,-58.40625,18.20703125,-0.515625,-0.71875,1.5,13.08984375,-61.83203125,14.28515625,1.0
3312466,,,,,,,,16.36328125,-53.01171875,23.29296875,-0.1328125,-0.5703125,1.486328125,12.70703125,-56.421875,19.37890625,1.0
3312467,,,,,,,,6.15234375,-22.61328125,7.2890625,0.1640625,-0.51953125,1.34765625,2.44140625,-26.0078125,3.40625,1.0
3312468,,,,,,,,-0.49609375,-17.44140625,2.234375,-0.888671875,-0.068359375,-0.958984375,-4.22265625,-20.83984375,-1.6484375,1.0
3312469,,,,,,,,-3.42578125,-17.1171875,3.91015625,-1.083984375,0.03125,-3.25,-7.05859375,-20.61328125,-0.00390625,1.0
3312470,36.01300916666666,129.31895616666668,32.108025058404536,67.59272672919376,2.4000000000000004,252.0,,-3.2421875,-16.08203125,5.99609375,0.291015625,-0.357421875,1.826171875,-1.54296875,-3.5625,-1.34375,1.0
3312471,,,,,,,,-0.2265625,-12.88671875,6.546875,0.73828125,-0.1875,-0.412109375,-3.6875,-16.5859375,2.640625,1.0
3312472,,,,,,,,0.37890625,-9.328125,4.4453125,0.720703125,0.013671875,0.453125,-3.07421875,-13.10546875,0.5703125,1.0
3312473,,,,,,,,1.98828125,-6.72265625,3.734375,0.12890625,0.0625,0.462890625,-1.46484375,-10.53515625,-0.1171875,1.0
3312474,,,,,,,,5.58984375,-4.31640625,3.91796875,0.0546875,0.365234375,0.677734375,2.13671875,-8.16015625,0.07421875,1.0
3312475,,,,,,,,7.16796875,-3.8046875,4.40625,0.556640625,0.548828125,1.08203125,3.70703125,-7.66796875,0.5703125,1.0
3312476,,,,,,,,7.86328125,-3.734375,3.90234375,0.728515625,0.533203125,1.314453125,4.39453125,-7.62890625,0.07421875,1.0
3312477,,,,,,,,6.73828125,-2.796875,2.8125,0.48828125,0.51953125,1.365234375,3.24609375,-6.70703125,-1.0,1.0
3312478,,,,,,,,6.31640625,-1.58203125,2.421875,-0.087890625,0.31640625,1.42578125,2.78515625,-5.4765625,-1.3828125,1.0
3312479,,,,,,,,6.5390625,-0.29296875,2.5078125,-0.25390625,0.13671875,1.564453125,2.9765625,-4.171875,-1.3046875,1.0
3312480,36.01300966666667,129.31895350000002,31.867627852222576,67.64820547504327,2.4000000000000004,265.0,,7.9375,0.625,3.88671875,-0.416015625,-0.13671875,1.720703125,4.3203125,-3.21875,0.07421875,1.0
3312481,,,,,,,,8.57421875,0.73046875,5.07421875,-0.646484375,-0.39453125,1.8203125,4.890625,-3.06640625,1.26171875,1.0
3312482,,,,,,,,8.8046875,0.6015625,5.80859375,-0.9765625,-0.607421875,1.701171875,5.05078125,-3.140625,1.98828125,1.0
3312483,,,,,,,,8.59765625,0.69140625,5.89453125,-1.318359375,-0.611328125,1.220703125,4.77734375,-2.98828125,2.06640625,1.0
3312484,,,,,,,,7.296875,1.70703125,5.11328125,-1.609375,-0.439453125,0.576171875,3.4375,-1.91796875,1.26171875,1.0
3312485,,,,,,,,6.15625,2.92578125,4.39453125,-1.755859375,-0.26171875,-0.09765625,2.2890625,-0.65234375,0.49609375,1.0
3312486,,,,,,,,5.8046875,3.5390625,4.0625,-1.798828125,-0.189453125,-0.38671875,1.9453125,-0.0390625,0.1484375,1.0
3312487,,,,,,,,4.78515625,5.0078125,3.23828125,-1.931640625,-0.091796875,-0.830078125,0.94921875,1.453125,-0.73046875,1.0
3312488,,,,,,,,4.69921875,5.765625,3.21484375,-2.0390625,-0.009765625,-1.017578125,0.91015625,2.21875,-0.80859375,1.0
3312489,,,,,,,,4.8359375,6.48828125,3.40234375,-1.98828125,0.068359375,-0.986328125,1.1015625,2.94921875,-0.69140625,1.0
3312490,36.01301,129.31895083333333,31.6272307134469,67.68519102002678,2.5,271.0,,4.09765625,6.3125,3.76953125,-1.87890625,0.14453125,-0.88671875,0.41015625,2.796875,-0.38671875,1.0
3312491,,,,,,,,3.39453125,6.140625,4.1484375,-1.951171875,0.21484375,-0.80078125,-0.23828125,2.64453125,-0.078125,1.0
3312492,,,,,,,,2.578125,6.125,5.25390625,-2.283203125,0.275390625,-0.72265625,-0.96875,2.68359375,0.91796875,1.0
3312493,,,,,,,,1.94140625,5.87109375,6.2109375,-2.357421875,0.271484375,-0.69140625,-1.58203125,2.44921875,1.8359375,1.0
3312494,,,,,,,,1.015625,4.36328125,6.91796875,-2.556640625,0.19921875,-0.6796875,-2.4609375,0.99609375,2.44921875,1.0
3312495,,,,,,,,1.47265625,1.21875,7.73046875,-2.796875,0.08203125,-0.673828125,-1.96484375,-2.0703125,3.171875,1.0
3312496,,,,,,,,3.12109375,-7.125,8.078125,-2.375,0.078125,-0.404296875,-0.27734375,-10.34765625,3.4453125,1.0
3312497,,,,,,,,-1.5859375,-32.37109375,10.0703125,-1.994140625,0.126953125,0.17578125,-4.953125,-35.5078125,5.359375,1.0
3312498,,,,,,,,-6.1796875,-40.72265625,14.24609375,-1.51171875,0.302734375,1.337890625,-9.546875,-43.78515625,9.49609375,1.0
3312499,,,,,,,,-16.26171875,-51.703125,16.02734375,-2.0390625,0.0703125,2.06640625,-19.66015625,-54.6640625,11.22265625,1.0
3312500,36.01300966666667,129.31894783333334,31.356784218070764,67.64820363656597,2.5,267.0,0.0,-13.45703125,-36.59765625,7.8203125,-1.87890625,0.14453125,-0.88671875,0.41015625,2.796875,-0.38671875,1.0
3312501,,,,,,,,-1.7265625,-18.5625,2.97265625,-1.451171875,-0.17578125,-1.107421875,-5.1796875,-21.4140625,-1.87890625,1.0
3312502,,,,,,,,6.0234375,-21.3203125,1.1875,-2.572265625,0.38671875,-2.21875,2.6328125,-24.171875,-3.71875,1.0
3312503,,,,,,,,10.18359375,-24.0859375,4.94140625,-2.078125,0.65234375,-2.0546875,6.84765625,-26.9296875,-0.00390625,1.0
3312504,,,,,,,,8.92578125,-23.12109375,12.08203125,-1.779296875,-0.455078125,-0.091796875,5.66015625,-25.97265625,7.08203125,1.0
3312505,,,,,,,,3.80859375,-18.96484375,8.0,-3.654296875,-0.654296875,0.03515625,0.52734375,-21.71875,2.9453125,1.0
3312506,,,,,,,,2.484375,-14.5078125,3.58984375,-3.88671875,-0.861328125,-0.6796875,-0.8125,-17.12890625,-1.53515625,1.0
3312507,,,,,,,,1.73046875,-12.51171875,3.72265625,-3.021484375,-1.048828125,-0.814453125,-1.58203125,-15.01953125,-1.45703125,1.0
3312508,,,,,,,,1.12109375,-12.2734375,4.203125,-2.537109375,-1.373046875,-0.400390625,-2.23046875,-14.7109375,-1.0,1.0
3312509,,,,,,,,-1.0390625,-11.40234375,5.67578125,-2.693359375,-1.58203125,0.037109375,-4.453125,-13.75,0.45703125,1.0
3312510,36.013010333333334,129.31894566666668,31.161461389523026,67.72217576961614,2.2,273.0,,-2.921875,-7.90234375,5.26171875,-2.828125,-1.626953125,0.232421875,-6.40625,-10.1484375,0.03515625,1.0
3312511,,,,,,,,-2.9296875,-4.91015625,4.41015625,-2.765625,-1.54296875,0.224609375,-6.484375,-7.046875,-0.80859375,1.0
3312512,,,,,,,,-2.7734375,-3.5390625,3.84375,-2.71875,-1.443359375,0.1953125,-6.3671875,-5.6328125,-1.3828125,1.0
3312513,,,,,,,,-2.75,-1.9921875,3.546875,-2.68359375,-1.259765625,0.087890625,-6.40625,-3.984375,-1.6875,1.0
3312514,,,,,,,,-2.2890625,0.80859375,3.66796875,-2.451171875,-1.123046875,0.33203125,-6.02734375,-1.03515625,-1.57421875,1.0
3312515,,,,,,,,-1.73828125,2.4375,3.75390625,-2.2109375,-0.98828125,0.73828125,-5.5234375,0.6875,-1.49609375,1.0
3312516,,,,,,,,-1.32421875,3.9921875,4.13671875,-2.0859375,-0.94140625,0.9296875,-5.140625,2.296875,-1.11328125,1.0
3312517,,,,,,,,-0.42578125,4.91796875,5.0546875,-1.482421875,-0.927734375,1.46875,-4.33984375,3.37109375,-0.1953125,1.0
3312518,,,,,,,,0.6328125,4.33203125,5.66015625,-0.837890625,-0.86328125,1.794921875,-3.34765625,2.87109375,0.41796875,1.0
3312519,,,,,,,,1.15625,3.56640625,5.9140625,-0.509765625,-0.79296875,1.884765625,-2.84765625,2.14453125,0.6875,1.0
3312520,36.01301216666666,129.31894316666666,30.936088481243324,67.92560024972728,2.8000000000000003,293.0,,2.890625,0.8671875,6.53125,0.16796875,-0.6953125,1.5546875,-1.1953125,-0.5,1.3359375,1.0
3312521,,,,,,,,4.0859375,0.2109375,6.15625,0.2578125,-0.701171875,0.97265625,-0.046875,-1.1484375,0.9921875,1.0
3312522,,,,,,,,4.9453125,1.05859375,5.49609375,-0.052734375,-0.6796875,-0.140625,0.7578125,-0.34765625,0.37890625,1.0
3312523,,,,,,,,4.9140625,2.1875,5.48828125,-0.228515625,-0.685546875,-0.4296875,0.71875,0.765625,0.37890625,1.0
3312524,,,,,,,,4.8203125,3.18359375,5.65625,-0.525390625,-0.73828125,-0.76171875,0.6015625,1.71875,0.5703125,1.0
3312525,,,,,,,,4.609375,3.67578125,6.21484375,-0.677734375,-0.75,-0.802734375,0.375,2.1796875,1.14453125,1.0
3312526,,,,,,,,4.33203125,3.4453125,6.75390625,-0.787109375,-0.72265625,-0.5546875,0.06640625,1.91796875,1.72265625,1.0
3312527,,,,,,,,4.34765625,3.0,7.00390625,-0.759765625,-0.6484375,-0.27734375,0.06640625,1.453125,1.98828125,1.0
3312528,,,,,,,,4.44140625,2.1953125,7.37890625,-0.748046875,-0.61328125,-0.130859375,0.14453125,0.6484375,2.3671875,1.0
3312529,,,,,,,,4.33984375,1.46875,7.75390625,-0.80078125,-0.560546875,0.11328125,0.02734375,-0.078125,2.75390625,1.0
3312530,36.01301350000001,129.31894116666666,30.755790217962492,68.07354527382833,2.3000000000000003,299.0,,4.01953125,-0.09375,7.47265625,-0.98828125,-0.548828125,0.208984375,-0.31640625,-1.609375,2.48828125,1.0
3312531,,,,,,,,3.28515625,-2.25,6.4296875,-1.201171875,-0.548828125,0.13671875,-1.08203125,-3.72265625,1.453125,1.0
3312532,,,,,,,,2.52734375,-4.6484375,6.23046875,-1.287109375,-0.58203125,0.1328125,-1.84765625,-6.09765625,1.26171875,1.0
3312533,,,,,,,,0.94140625,-10.66015625,6.4140625,-1.49609375,-0.669921875,0.19140625,-3.45703125,-12.06640625,1.453125,1.0
3312534,,,,,,,,0.3046875,-16.75390625,6.8671875,-1.5390625,-0.73046875,0.263671875,-4.109375,-18.12109375,1.9140625,1.0
3312535,,,,,,,,1.5390625,-23.4140625,7.37890625,-0.892578125,-0.822265625,0.677734375,-2.921875,-24.71484375,2.44921875,1.0
3312536,,,,,,,,5.6875,-33.01171875,8.3671875,0.2109375,-0.78515625,0.8125,1.1796875,-34.28125,3.484375,1.0
3312537,,,,,,,,11.31640625,-42.3671875,12.578125,1.169921875,-0.91015625,0.689453125,6.76953125,-43.67578125,7.734375,1.0
3312538,,,,,,,,10.20703125,-34.8203125,13.2421875,1.1015625,-0.853515625,0.650390625,5.62109375,-36.203125,8.4609375,1.0
3312539,,,,,,,,3.7890625,-28.55078125,6.85546875,0.67578125,-0.484375,0.705078125,-0.8125,-29.953125,2.10546875,1.0
3312540,36.013014500000004,129.3189395,30.605541709307687,68.18450399039439,1.7000000000000002,300.0,,-0.84765625,-27.5546875,6.140625,-0.396484375,-0.080078125,-1.052734375,-5.44921875,-29.04296875,1.4140625,1.0
3312541,,,,,,,,-0.15234375,-23.7578125,6.9140625,-0.478515625,0.12109375,-1.4296875,-4.72265625,-25.3203125,2.1796875,1.0
3312542,,,,,,,,1.1796875,-21.0078125,6.484375,0.728515625,0.162109375,-1.2109375,-3.34375,-22.6796875,1.7578125,1.0
3312543,,,,,,,,1.671875,-19.55078125,6.0546875,1.095703125,0.140625,-1.236328125,-2.84375,-21.296875,1.3359375,1.0
3312544,,,,,,,,2.8125,-15.1875,6.34765625,0.818359375,0.21875,-1.23828125,-1.65625,-17.08984375,1.64453125,1.0
3312545,,,,,,,,4.21484375,-12.3203125,7.10546875,0.103515625,0.412109375,-0.79296875,-0.19921875,-14.328125,2.41015625,1.0
3312546,,,,,,,,6.5859375,-9.8671875,6.8828125,0.234375,0.64453125,-0.1015625,2.2109375,-11.953125,2.1796875,1.0
3312547,,,,,,,,7.84375,-9.7734375,5.63671875,0.48828125,0.6953125,0.337890625,3.515625,-11.91796875,0.91796875,1.0
3312548,,,,,,,,7.828125,-9.7421875,5.40625,0.533203125,0.673828125,0.498046875,3.515625,-11.91796875,0.6875,1.0
3312549,,,,,,,,6.9140625,-8.81640625,5.10546875,0.4296875,0.625,0.75,2.6328125,-11.03125,0.37890625,1.0
3312550,36.013016500000006,129.3189385,30.515392069543495,68.40642216071853,2.3000000000000003,317.0,,6.8515625,-7.4140625,5.19140625,-0.396484375,-0.080078125,-1.052734375,-5.44921875,-29.04296875,1.4140625,1.0
3312551,,,,,,,,7.19921875,-4.578125,5.0,-0.126953125,0.14453125,1.072265625,2.94140625,-6.8203125,0.265625,1.0
3312552,,,,,,,,7.47265625,-2.48046875,4.9921875,-0.048828125,-0.12109375,1.107421875,3.20703125,-4.71484375,0.265625,1.0
3312553,,,,,,,,8.0625,0.01171875,5.265625,-0.025390625,-0.314453125,1.095703125,3.78515625,-2.22265625,0.5703125,1.0
3312554,,,,,,,,7.8203125,2.2734375,5.625,-0.162109375,-0.41015625,1.0,3.515625,0.0390625,0.953125,1.0
3312555,,,,,,,,7.25390625,3.17578125,5.43359375,-0.462890625,-0.421875,0.751953125,2.8984375,0.95703125,0.80078125,1.0
3312556,,,,,,,,5.9296875,3.97265625,4.921875,-0.55859375,-0.369140625,0.4765625,1.5625,1.76171875,0.3046875,1.0
3312557,,,,,,,,4.640625,4.24609375,4.3671875,-0.63671875,-0.298828125,0.19140625,0.2578125,2.02734375,-0.234375,1.0
3312558,,,,,,,,4.05859375,4.1328125,3.59375,-0.759765625,-0.189453125,-0.017578125,-0.31640625,1.91796875,-1.0,1.0
3312559,,,,,,,,4.203125,3.7109375,3.74609375,-0.845703125,-0.0625,-0.099609375,-0.1640625,1.49609375,-0.84765625,1.0
3312560,36.013018833333334,129.31893766666664,30.44026711231318,68.66532679746251,2.6,329.0,,4.6796875,2.609375,4.72265625,-0.396484375,-0.080078125,-1.052734375,0.3359375,0.38671875,0.11328125,1.0
3312561,,,,,,,,5.03125,2.33203125,5.45703125,-1.0,0.193359375,-0.03125,0.71875,0.11328125,0.8359375,1.0
3312562,,,,,,,,5.55078125,2.44140625,6.36328125,-1.052734375,0.28125,-0.203125,1.25390625,0.23046875,1.72265625,1.0
3312563,,,,,,,,5.796875,2.625,6.76171875,-1.060546875,0.291015625,-0.3359375,1.5234375,0.421875,2.1015625,1.0
3312564,,,,,,,,6.46875,3.0234375,7.82421875,-1.255859375,0.248046875,-0.720703125,2.25,0.8046875,3.13671875,1.0
3312565,,,,,,,,6.30859375,2.09375,7.734375,-1.548828125,0.162109375,-0.8046875,2.13671875,-0.1171875,3.02734375,1.0
3312566,,,,,,,,6.11328125,-3.16796875,7.0390625,-1.869140625,0.08203125,-0.59765625,1.98046875,-5.359375,2.296875,1.0
3312567,,,,,,,,6.46875,-9.71875,7.64453125,-1.732421875,0.150390625,-0.0078125,2.3671875,-11.87890625,2.87109375,1.0
3312568,,,,,,,,6.53515625,-15.07421875,8.30078125,-1.451171875,0.25,0.443359375,2.44140625,-17.19921875,3.51953125,1.0
3312569,,,,,,,,0.390625,-35.08984375,15.34375,-1.521484375,0.34765625,1.203125,-3.6875,-37.16015625,10.53125,1.0
3312570,36.01302066666666,129.3189363333333,30.320067922495475,68.86875165834886,2.3000000000000003,332.0,,-6.734375,-38.34765625,18.71484375,-2.158203125,0.08984375,1.24609375,0.3359375,0.38671875,0.11328125,1.0
3312571,,,,,,,,-0.75,-21.34765625,14.86328125,-1.80078125,-0.3125,0.609375,-4.8359375,-23.21484375,9.99609375,1.0
3312572,,,,,,,,8.71875,-15.16796875,6.86328125,-2.05078125,-0.439453125,-0.48828125,4.625,-16.96875,1.98828125,1.0
3312573,,,,,,,,11.01953125,-16.390625,5.984375,-1.806640625,-0.345703125,-1.078125,6.92578125,-18.19921875,1.109375,1.0
3312574,,,,,,,,11.74609375,-19.9921875,7.0234375,-2.125,-0.11328125,-1.138671875,7.69140625,-21.796875,2.140625,1.0
3312575,,,,,,,,9.73828125,-23.5703125,9.5390625,-3.037109375,-0.455078125,0.255859375,5.69921875,-25.3203125,4.6328125,1.0
3312576,,,,,,,,8.65625,-22.953125,8.48828125,-3.30078125,-0.73046875,0.9609375,4.5859375,-24.5546875,3.55859375,1.0
3312577,,,,,,,,7.41015625,-18.34765625,6.45703125,-3.423828125,-1.115234375,0.212890625,3.28515625,-19.7265625,1.52734375,1.0
3312578,,,,,,,,7.01171875,-17.58984375,6.4140625,-3.46875,-1.23046875,0.048828125,2.86328125,-18.92578125,1.4921875,1.0
3312579,,,,,,,,4.70703125,-15.203125,6.7265625,-3.4921875,-1.5,0.09765625,0.48828125,-16.359375,1.8359375,1.0
3312580,36.013022500000005,129.3189355,30.244943172651134,69.07217667736954,2.2,336.0,,2.69140625,-14.33203125,5.99609375,-3.478515625,-1.595703125,0.203125,-1.58203125,-15.359375,1.14453125,1.0
3312581,,,,,,,,-0.26171875,-10.44921875,3.5078125,-3.380859375,-1.5859375,0.25390625,-4.60546875,-11.33984375,-1.3046875,1.0
3312582,,,,,,,,-1.203125,-9.25,3.31640625,-3.005859375,-1.455078125,0.4453125,-5.79296875,-9.3828125,-1.49609375,1.0
3312583,,,,,,,,-1.5703125,-6.921875,3.3828125,-2.87109375,-1.2109375,0.689453125,-5.984375,-6.703125,-1.23046875,1.0
3312584,,,,,,,,-1.39453125,-5.125,3.59765625,-2.896484375,-0.8046875,0.970703125,-5.56640625,-3.48828125,-0.73046875,1.0
